,ROA,ROE,cash_flow,Annual_yield,Daily_yield,Max_withdraw,Var10,Var5,active_profit_annual,active_profit_daily,active_profit_total,active_risk,alpha,beta,downside_risk,total_yield,varance,win_rate,ind,news,clu
125,0.6666666666666666,0.6666666666666666,0.7916666666666666,0.7083333333333334,0.7083333333333334,0.5833333333333334,0.7083333333333334,0.75,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.5416666666666666,0.6666666666666666,0.5,0.4583333333333333,0.6666666666666666,0.5,0.9166666666666666,0.3516483516483517,2.0,2
126,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.75,0.25,0.4166666666666667,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,0.5,0.75,0.6666666666666666,1.0,0.4166666666666667,0.30769230769230765,2.333333333333333,2
127,0.5,1.0,0.75,1.0,1.0,0.75,1.0,0.75,1.0,1.0,1.0,0.5,0.75,0.25,0.25,1.0,0.25,0.25,0.31868131868131866,1.0,4
128,0.7012987012987013,0.7857142857142857,0.6331168831168831,0.6298701298701299,0.6298701298701299,0.6915584415584416,0.6298701298701299,0.6915584415584416,0.6298701298701299,0.6298701298701299,0.6201298701298701,0.6136363636363636,0.6688311688311688,0.448051948051948,0.551948051948052,0.6428571428571429,0.6168831168831169,0.5,0.4409590409590409,1.826086956521739,2
129,1.0,0.75,1.0,0.75,0.75,0.5,1.0,1.0,0.75,0.75,0.75,0.25,0.5,0.5,0.25,0.75,0.25,0.25,0.3406593406593407,2.0,2
130,0.6178571428571429,0.5446428571428571,0.6205357142857143,0.6116071428571429,0.6116071428571429,0.5625,0.6107142857142858,0.6142857142857143,0.6080357142857142,0.6080357142857142,0.6026785714285714,0.6116071428571429,0.6151785714285715,0.5910714285714286,0.6392857142857142,0.6116071428571429,0.6089285714285714,0.6616071428571428,0.4283480746895387,1.551282051282051,2
131,0.4,0.3,0.8,0.45,0.45,0.4,1.0,1.0,0.45,0.45,0.45,0.25,0.3,0.3,0.25,0.45,0.25,0.45,0.6263736263736264,0.0,3
132,0.75,0.25,0.25,0.75,0.75,0.75,0.25,0.25,0.75,0.75,0.75,1.0,0.75,1.0,1.0,0.75,1.0,1.0,0.42857142857142855,0.0,4
133,0.5606060606060606,0.5378787878787878,0.6666666666666666,0.5303030303030303,0.5303030303030303,0.6060606060606061,0.6818181818181818,0.6893939393939394,0.5303030303030303,0.5303030303030303,0.5303030303030303,0.553030303030303,0.4924242424242424,0.6060606060606061,0.5378787878787878,0.5378787878787878,0.5454545454545454,0.5984848484848485,0.3546069315300085,1.0,4
134,0.25,0.25,0.75,0.25,0.25,0.5,1.0,1.0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.5,0.0,0.0,3
135,1.0,0.25,0.25,0.75,0.75,0.5,0.5,0.75,0.75,0.75,0.75,0.25,0.5,1.0,0.5,0.75,0.5,1.0,0.0,0.0,4
136,0.25,0.25,1.0,0.75,0.75,0.5,1.0,1.0,0.75,0.75,0.75,0.25,0.5,0.25,0.25,0.75,0.25,0.25,0.0989010989010989,1.0,4
137,0.25,0.25,0.75,1.0,1.0,0.75,0.25,0.5,0.75,0.75,0.75,0.75,0.75,0.5,0.75,1.0,0.75,0.5,0.6813186813186813,0.0,4
